url_name,English,Chinese
abating_link,Abating Link,耗弱链接
abundant_mutation,Abundant Mutation,增生突变
abyssal_beacon,Abyssal Beacon,深渊信标
accelerated_blast,Accelerated Blast,加速冲击
accelerated_deflection,Accelerated Deflection,加速充能
accelerated_isotope,Accelerated Isotope,迅发核素
acceltra_prime_barrel,Acceltra Prime Barrel,迅发电浆炮 Prime 枪管
acceltra_prime_blueprint,Acceltra Prime Blueprint,迅发电浆炮 Prime 蓝图
acceltra_prime_receiver,Acceltra Prime Receiver,迅发电浆炮 Prime 枪机
acceltra_prime_set,Acceltra Prime Set,迅发电浆炮 Prime 一套
acceltra_prime_stock,Acceltra Prime Stock,迅发电浆炮 Prime 枪托
accumulating_whipclaw,Accumulating Whipclaw,蓄积长鞭
acid_shells,Acid Shells,酸性弹药
acidic_spittle,Acidic Spittle,浓酸唾液
adaptation,Adaptation,适应
adarza_kavat_imprint,Adarza Kavat Imprint,镜像型库娃 基因印记
adept_surge,Adept Surge,跃浪好手
adhesive_blast,Adhesive Blast,凝胶爆破
adlet_core_blueprint,Adlet Core Blueprint,艾莱核心 蓝图
adrenaline_boost,Adrenaline Boost,肾上腺激素
aegis_gale,Aegis Gale,神盾之风
aeolak_barrel_blueprint,Aeolak Barrel Blueprint,风鸣 枪管 蓝图
aeolak_receiver_blueprint,Aeolak Receiver Blueprint,风鸣 枪机 蓝图
aeolak_set,Aeolak Set,风鸣 一套
aeolak_stock_blueprint,Aeolak Stock Blueprint,风鸣 枪托 蓝图
aerial_ace,Aerial Ace,空中制霸
aerial_bond,Aerial Bond,空中连结
aerial_prospectus,Aerial Prospectus,空中招股
aero_agility,Aero Agility,空飞 灵巧
aero_periphery,Aero Periphery,空飞 边际
aero_vantage,Aero Vantage,空飞 俯瞰
aerodynamic,Aerodynamic,空气动力
afterburn,Afterburn,续燃
afterburner,Afterburner,加力燃烧
afuris_prime_barrel,Afuris Prime Barrel,盗贼双枪 Prime 枪管
afuris_prime_blueprint,Afuris Prime Blueprint,盗贼双枪 Prime 蓝图
afuris_prime_link,Afuris Prime Link,盗贼双枪 Prime 连接器
afuris_prime_receiver,Afuris Prime Receiver,盗贼双枪 Prime 枪机
afuris_prime_set,Afuris Prime Set,盗贼双枪 Prime 一套
agile_aim,Agile Aim,机动瞄准
agility_drift,Agility Drift,矫捷窜升
agkuza_blade,Agkuza Blade,驯象钩刃 刀刃
agkuza_guard,Agkuza Guard,驯象钩刃 护手
agkuza_handle,Agkuza Handle,驯象钩刃 握柄
agkuza_set,Agkuza Set,驯象钩刃 一套
air_recon,Air Recon,空中侦察
air_thrusters,Air Thrusters,空中推进
air_time,Air Time,乘空时间
airburst_rounds,Airburst Rounds,空爆弹
akarius_prime_barrel,Akarius Prime Barrel,阿利乌双枪 Prime 枪管
akarius_prime_blueprint,Akarius Prime Blueprint,阿利乌双枪 Prime 蓝图
akarius_prime_link,Akarius Prime Link,阿利乌双枪 Prime 连接器
akarius_prime_receiver,Akarius Prime Receiver,阿利乌双枪 Prime 枪机
akarius_prime_set,Akarius Prime Set,阿利乌双枪 Prime 一套
akbolto_prime_barrel,Akbolto Prime Barrel,螺钉双枪 Prime 枪管
akbolto_prime_blueprint,Akbolto Prime Blueprint,螺钉双枪 Prime 蓝图
akbolto_prime_link,Akbolto Prime Link,螺钉双枪 Prime 连接器
akbolto_prime_receiver,Akbolto Prime Receiver,螺钉双枪 Prime 枪机
akbolto_prime_set,Akbolto Prime Set,螺钉双枪 Prime 一套
akbronco_prime_blueprint,Akbronco Prime Blueprint,野马双枪 Prime 蓝图
akbronco_prime_link,Akbronco Prime Link,野马双枪 Prime 连接器
akbronco_prime_set,Akbronco Prime Set,野马双枪 Prime 一套
akimbo_slip_shot,Akimbo Slip Shot,双枪·滑射
akjagara_prime_barrel,Akjagara Prime Barrel,觉醒双枪 Prime 枪管
akjagara_prime_blueprint,Akjagara Prime Blueprint,觉醒双枪 Prime 蓝图
akjagara_prime_link,Akjagara Prime Link,觉醒双枪 Prime 连接器
akjagara_prime_receiver,Akjagara Prime Receiver,觉醒双枪 Prime 枪机
akjagara_prime_set,Akjagara Prime Set,觉醒双枪 Prime 一套
aklex_prime_blueprint,Aklex Prime Blueprint,雷克斯双枪 Prime 蓝图
aklex_prime_link,Aklex Prime Link,雷克斯双枪 Prime 连接器
aklex_prime_set,Aklex Prime Set,雷克斯双枪 Prime 一套
akmagnus_prime_blueprint,Akmagnus Prime Blueprint,麦格努斯双枪 Prime 蓝图
akmagnus_prime_link,Akmagnus Prime Link,麦格努斯双枪 Prime 连接器
akmagnus_prime_set,Akmagnus Prime Set,麦格努斯双枪 Prime 一套
aksomati_prime_barrel,Aksomati Prime Barrel,轻灵月神双枪 Prime 枪管
aksomati_prime_blueprint,Aksomati Prime Blueprint,轻灵月神双枪 Prime 蓝图
aksomati_prime_link,Aksomati Prime Link,轻灵月神双枪 Prime 连接器
aksomati_prime_receiver,Aksomati Prime Receiver,轻灵月神双枪 Prime 枪机
aksomati_prime_set,Aksomati Prime Set,轻灵月神双枪 Prime 一套
akstiletto_prime_barrel,Akstiletto Prime Barrel,史提托双枪 Prime 枪管
akstiletto_prime_blueprint,Akstiletto Prime Blueprint,史提托双枪 Prime 蓝图
akstiletto_prime_link,Akstiletto Prime Link,史提托双枪 Prime 连接器
akstiletto_prime_receiver,Akstiletto Prime Receiver,史提托双枪 Prime 枪机
akstiletto_prime_set,Akstiletto Prime Set,史提托双枪 Prime 一套
akvasto_prime_blueprint,Akvasto Prime Blueprint,瓦斯托双枪 Prime 蓝图
akvasto_prime_link,Akvasto Prime Link,瓦斯托双枪 Prime 连接器
akvasto_prime_set,Akvasto Prime Set,瓦斯托双枪 Prime 一套
albrecht’s_archive_scene,Albrecht’s Archive Scene,阿尔布雷希特的档案室场景
albrecht’s_bureau_scene,Albrecht’s Bureau Scene,阿尔布雷希特的办公室场景
amanata_pressure,Amanata Pressure,天薙刀 压迫点
amars_anguish,Amar's Anguish,欺谋狼主之苦
amars_contempt,Amar's Contempt,欺谋狼主之鄙
amars_hatred,Amar's Hatred,欺谋狼主之恨
amaryns_retreat_scene,Amaryn's Retreat Scene,Amaryn 的避难所场景
ambassador_barrel,Ambassador Barrel,使节 枪管
ambassador_blueprint,Ambassador Blueprint,使节 蓝图
ambassador_receiver,Ambassador Receiver,使节 枪机
ambassador_set,Ambassador Set,使节 一套
ambassador_stock,Ambassador Stock,使节 枪托
ambulas_arena_simulacrum,Ambulas Arena Simulacrum,Ambulas 竞技场幻影装置
ambush,Ambush,幽灵伏击
ambush_optics,Ambush Optics,伏击光子
amesha_harness_blueprint,Amesha Harness,圣使 外甲
amesha_set,Amesha Set,圣使 一套
amesha_systems_blueprint,Amesha Systems,圣使 系统
amesha_wings_blueprint,Amesha Wings,圣使 机翼
amethyst_antitoxin,Amethyst Antitoxin,紫水晶解毒剂
ammo_case,Ammo Case,弹药储转箱
ammo_chain,Ammo Chain,弹链
ammo_drum,Ammo Drum,弹鼓
ammo_stock,Ammo Stock,霰弹扩充
amniophysi,Amniophysi,针刺长鳄
amphitheater_scene,Amphitheater Scene,圆形剧场场景
anabolic_pollination,Anabolic Pollination,同化授粉
anchored_glide,Anchored Glide,聚精滑翔
ancient_fusion_core,Ancient Fusion Core,远古融合核心
anemic_agility,Anemic Agility,乏能迅敏
animal_instinct,Animal Instinct,动物本能
ankyros_prime_blade,Ankyros Prime Blade,甲龙双拳 Prime 刀刃
ankyros_prime_blueprint,Ankyros Prime Blueprint,甲龙双拳 Prime 蓝图
ankyros_prime_gauntlet,Ankyros Prime Gauntlet,甲龙双拳 Prime 拳套
ankyros_prime_set,Ankyros Prime Set,甲龙双拳 Prime 一套
anti_flak_plating,Anti-Flak Plating,抗爆覆甲
anti_grav_array,Anti-Grav Array,反重力阵列
anti_grav_grenade,Anti-Grav Grenade,反重力榴弹
anti_v,Anti-V,防毒先锋
anticipation,Anticipation,冲击预感
antimatter_absorb,Antimatter Absorb,反物质吸收
antimatter_mine,Antimatter Mine,反物质地雷
antitoxin,Antitoxin,毒抗
apex_predator,Apex Predator,顶级掠食者
aquapulmo,Aquapulmo,水肺
arbiters_tribunal_scene,Arbiter's Tribunal Scene,仲裁者法庭场景
arbiters_combat_emote,Arbiters Combat Emote,均衡仲裁者战斗表情动作
arbiters_endurance_emote,Arbiters Endurance Emote,均衡仲裁者耐力表情动作
arbiters_engineering_emote,Arbiters Engineering Emote,均衡仲裁者工程表情动作
arbiters_gunnery_emote,Arbiters Gunnery Emote,均衡仲裁者枪炮表情动作
arbiters_piloting_emote,Arbiters Piloting Emote,均衡仲裁者操纵表情动作
arbiters_of_hexis_augment_mod,Arbiters of Hexis Augment Mod,均衡仲裁者强化Mod
arc_coil,Arc Coil,电弧线圈
